# energy mu normalized_energy pre_edge post_edge
8.002894000000000233e+03 5.249888000000000332e-01 8.002894000000000233e+03 5.172031649191748404e-01 3.947727891746581896e+00
8.007319999999999709e+03 5.236315000000000275e-01 8.007319999999999709e+03 5.165362541936151519e-01 3.943838392585760744e+00
8.011750000000000000e+03 5.225714000000000192e-01 8.011750000000000000e+03 5.158687407471107544e-01 3.939945378287874611e+00
8.016182999999999993e+03 5.218207999999999736e-01 8.016182999999999993e+03 5.152007752598974921e-01 3.936049727637191964e+00
8.020621000000000095e+03 5.207962000000000424e-01 8.020621000000000095e+03 5.145320563715030104e-01 3.932149683065180312e+00
8.025061999999999898e+03 5.200812000000000213e-01 8.025061999999999898e+03 5.138628854424001080e-01 3.928247002140370370e+00
8.029506999999999607e+03 5.189023000000000385e-01 8.029506999999999607e+03 5.131931117923520524e-01 3.924340806078497224e+00
8.033954999999999927e+03 5.182470000000000132e-01 8.033954999999999927e+03 5.125228861015953541e-01 3.920431973663825787e+00
8.038408000000000357e+03 5.174832000000000320e-01 8.038408000000000357e+03 5.118519070096574364e-01 3.916518747327824457e+00
8.042862000000000080e+03 5.163729000000000235e-01 8.042862000000000080e+03 5.111807772374834524e-01 3.912604642207558214e+00
8.047322000000000116e+03 5.156916000000000277e-01 8.047322000000000116e+03 5.105087433838919608e-01 3.908685264381696278e+00
8.051783999999999651e+03 5.147099000000000535e-01 8.051783999999999651e+03 5.098364081698281147e-01 3.904764128987303629e+00
8.056248999999999796e+03 5.140327000000000091e-01 8.056248999999999796e+03 5.091636209150556258e-01 3.900840357240111800e+00
8.060716999999999643e+03 5.130493999999999888e-01 8.060716999999999643e+03 5.084903816195742721e-01 3.896913949140123457e+00
8.100171000000000276e+03 5.058498000000000161e-01 8.100171000000000276e+03 5.025454435793057506e-01 3.862242394713766735e+00
8.145275999999999840e+03 4.974593999999999960e-01 8.145275999999999840e+03 4.957490115240945627e-01 3.822604830400875287e+00
8.190697000000000116e+03 4.893573999999999979e-01 8.190697000000000116e+03 4.889049645142340417e-01 3.782689570259963219e+00
8.236506999999999607e+03 4.815497999999999723e-01 8.236506999999999607e+03 4.820023028924798059e-01 3.742432463039620849e+00
8.282820999999999913e+03 4.740913999999999962e-01 8.282820999999999913e+03 4.750236984316649202e-01 3.701732448549270416e+00
8.329765999999999622e+03 4.664945999999999815e-01 8.329765999999999622e+03 4.679500147417881006e-01 3.660477921187145434e+00
